@relation Cpp
@attribute Feature1 real
@attribute Feature2 real
@attribute Feature3 real
@attribute Feature4 real
@attribute Feature5 real
@attribute class {0,1}
@data
0.0,1.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0
1.0,1.0,1.0,1.0,1.0,0
0.0,0.0,0.0,0.0,1.0,0
0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0
1.0,1.0,1.0,1.0,1.0,0
0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0
1.0,0.0,1.0,1.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0
0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0
0.0,1.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0
0.0,1.0,1.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0
0.0,1.0,0.0,0.0,0.0,0
1.0,1.0,1.0,1.0,0.0,1
1.0,1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,1.0,1
1.0,0.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,0.0,1
0.0,0.0,1.0,0.0,0.0,1
1.0,1.0,1.0,1.0,1.0,1
1.0,0.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,1.0,1
1.0,0.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,1.0,1
1.0,0.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,1.0,1
0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,1.0,0.0,1.0,0
0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0
0.0,1.0,1.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0
0.0,1.0,1.0,0.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0
1.0,0.0,1.0,1.0,1.0,0
0.0,1.0,0.0,0.0,1.0,0
0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0
1.0,0.0,1.0,1.0,1.0,0
0.0,0.0,1.0,0.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0
0.0,1.0,1.0,0.0,1.0,0
1.0,1.0,1.0,1.0,1.0,0
0.0,0.0,1.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0
1.0,0.0,1.0,1.0,0.0,0
0.0,1.0,0.0,0.0,1.0,0
